"ID","ant_device_number","ant_network","ant_transmission_type","battery_status","battery_voltage","cum_operating_time","device_index","device_type","hardware_version","manufacturer","product","serial_number","software_version","source_type","timestamp"
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-28 11:30:54
2017-12-28 12:23:33,0,"antplus",0,NA,255.99609375,7654,NA,120,255,NA,"2",0,3,"antplus",2017-12-28 11:30:54
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-28 11:30:54
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,8,255,NA,"15",0,616.44,"local",2017-12-28 11:30:54
2017-12-28 12:23:33,0,"antplus",0,NA,255.99609375,7654,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-28 11:31:09
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.1,"local",2017-12-28 11:37:26
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,7.5,"local",2017-12-28 11:53:25
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.1,"local",2017-12-28 11:53:25
2017-12-28 12:23:33,0,"antplus",0,NA,255.99609375,8952,NA,120,255,"dynastream_oem","2",2487262134,3,"antplus",2017-12-28 11:53:25
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,584.36,"local",2017-12-28 11:53:25
2017-12-28 12:23:33,0,NA,0,NA,255.99609375,4294967295,NA,8,255,NA,"15",0,2.46,"local",2017-12-28 11:53:25
