"ID","ant_device_number","ant_network","ant_transmission_type","battery_status","battery_voltage","cum_operating_time","device_index","device_type","hardware_version","manufacturer","product","serial_number","software_version","source_type","timestamp"
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-09-08 15:30:18
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-09-08 15:30:18
2020-09-08 16:18:40,0,"antplus",0,"ok",2.953125,443070,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-09-08 15:30:18
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-09-08 15:33:16
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-09-08 15:33:16
2020-09-08 16:18:40,0,"antplus",0,"ok",2.96484375,443272,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-09-08 15:33:16
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-09-08 16:11:05
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-09-08 16:11:05
2020-09-08 16:18:40,0,"antplus",0,"ok",2.953125,445584,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-09-08 16:11:05
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-09-08 16:14:10
2020-09-08 16:18:40,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-09-08 16:14:10
2020-09-08 16:18:40,0,"antplus",0,"ok",2.94921875,445684,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-09-08 16:14:10
